id,title,title_ar,url
115,Mohmed Abla Painting Award,جائزة محمد عبلة للتصوير,https://www.youtube.com/watch?v=8taS_3qgUSk
116,Lina Hashim Photography,فوتوغرافيا لينا هاشم,https://www.youtube.com/watch?v=crlLnt4Dsjg
117,Measuring the last breaths of time on a fading scale ,قياس أنفاس الزمن الآخيرة على مقياس يختفى,https://www.youtube.com/watch?v=1423iss2wpY
118,Nadah El Shazly: Ateyaton,ندا الشاذلي: آتية,https://youtu.be/heCxtlI3GME
119,Ahmed El Samra: Filmmaker from Alexandria ,أحمد السمرة: مخرج من الأسكندرية,https://www.youtube.com/watch?v=BvXiHTcJF1w
120,Mona Marzouk: Trayvon ,منى مرزوق: ترايفون,https://www.youtube.com/watch?v=Da4Reuc545w
121,"Maurice Louca, It will set ",موريس لوقا، شرق راح تغرب,https://youtu.be/fD3t6nG0Xfw
122,Soren Thilo Funder ,سورين تيلو فوندر,https://www.youtube.com/watch?v=YCAhGNZRHU0
123,Larissa Sansour ,لاريسا صنصور,https://www.youtube.com/watch?v=-eBnUvp-_oA
124,Kenneth Balfelt ,كينيث بالفلت,https://www.youtube.com/watch?v=LkS88u260xs
125,Islam Kamal: Filmmaker from Alexandria ,اسلام كمال: مخرج من الأسكندرية,https://www.youtube.com/watch?v=ojfSg-GU4Xo
126,Gheith Al-Amine ,غيث الأمين,https://youtu.be/jS1h96bI1rs
127,A Guest Without A Host Is A Ghost ,ضيف بدون مضيف هو شبح,https://www.youtube.com/watch?v=-9b8yW_QkSU
128,Next to here ,بالقرب من هنا,https://www.youtube.com/watch?v=6XD0Pb4MCdA
129,Hassan Khan: Taraban,حسن خان: طرباً,https://www.youtube.com/watch?v=k0vGwV525sg
130,Interruption ,انقطاع,https://www.youtube.com/watch?v=kTLlfpexWYE
131,Analog sound ,صوت أنالوج,https://youtu.be/jjlZ5wqHxOw
132,Sarah Samy at NSA,سارة سامي في ملحق غروب على النيل,https://www.youtube.com/watch?v=Evo_he7JlUU
133,Samir Nabil (Object Obscure) ,سمير نبيل,https://youtu.be/u_rZvgCBp8s
134,Hadtha jam ,بروفة حادثة,https://youtu.be/dP4A781LQv4
135,Ghassan Salhab: Making of 'The Valley' ,غسان سلهب: من كواليس فيلم الوادي,https://www.youtube.com/watch?v=E9YzEZNBJuY
136,Yasmine Hamdan: Bala Tantanat,ياسمين حمدان: بلا طنطنات,https://youtu.be/2RDu4zwJodg
137,Maspero II ,ماسبيرو: الجزء الثاني,https://www.youtube.com/watch?v=2vTBCOVm-pc
138,Lingering in vicinity ,تلكؤ,https://www.youtube.com/watch?v=xVvu48TSR8c
139,The Wonder Box ,صندوق العجب,https://www.youtube.com/watch?v=IUyEpluI-WM
140,Yasmine Hamdan ,ياسمين حمدان,https://youtu.be/qZlfbgKmiUM
141,Visual Lab Rats,فئران التجارب البصرية,https://www.youtube.com/watch?v=KCoD_iwsTi8
142,Telepoetic with Rami Abadir,تيليبوتيك مع رامي أبادير,https://youtu.be/95Ketgv0rDE
